job_id,job_title,company_name,required_skills,location,salary,job_type,experience_level,remote,job_description,requirements
KG-100249,AI Engineer,Accenture,"Construction, Java, Communication","Dubai, UAE",504.45 USD/month,Full-time,Senior,No,"This role requires strong skills in Construction, Java, Communication. GlobalDev KG offers a Full-time position located in Osh.","Construction, Java, Communication"
KG-100102,Full Stack Developer,Intel,"Construction, Customer Service, Power BI","Amsterdam, Netherlands",389.08 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Construction, Customer Service, Power BI. Nomad Retail offers a Full-time position located in Kara-Balta.","Construction, Customer Service, Power BI"
KG-100556,Frontend Developer,Siemens,"Marketing, Customer Service","New York, USA",250.09 USD/month,Internship,Mid-level,No,"This role requires strong skills in Marketing, Customer Service. Talas Agro offers a Internship position located in Jalal-Abad.","Marketing, Customer Service"
KG-100592,Data Scientist,Apple,"Pandas, Tableau, Docker","Tokyo, Japan",,Full-time,Mid-level,No,"This role requires strong skills in Pandas, Tableau, Docker. Alatoo Bank offers a Full-time position located in Bishkek.","Pandas, Tableau, Docker"
KG-100357,Full Stack Developer,Amazon,"Teaching, Construction, Communication","Amsterdam, Netherlands",730.34 USD/month,Full-time,Senior,No,"This role requires strong skills in Teaching, Construction, Communication. Naryn Energy offers a Full-time position located in Osh.","Teaching, Construction, Communication"
KG-100210,Data Scientist,Deloitte,"Git, JavaScript, AWS, Accounting, React","Toronto, Canada",609.85 USD/month,Temporary,Mid-level,No,"This role requires strong skills in Git, JavaScript, AWS, Accounting, React. Alatoo Bank offers a Temporary position located in Karakol.","Git, JavaScript, AWS, Accounting, React"
KG-100166,Mobile App Developer,IBM,"JavaScript, Kubernetes, Project Management","Amsterdam, Netherlands",3401.39 USD/month,Contract,Senior,No,"This role requires strong skills in JavaScript, Kubernetes, Project Management. Nomad Retail offers a Contract position located in Tokmok.","JavaScript, Kubernetes, Project Management"
KG-100138,Machine Learning Engineer,Oracle,"Pandas, Sales, Customer Service, SQL","London, UK",,Full-time,Mid-level,No,"This role requires strong skills in Pandas, Sales, Customer Service, SQL. Naryn Energy offers a Full-time position located in Karakol.","Pandas, Sales, Customer Service, SQL"
KG-100196,IT Support Specialist,Siemens,"Construction, Excel, Kubernetes, Power BI","London, UK",1605.46 USD/month,Full-time,Mid-level,Yes,"This role requires strong skills in Construction, Excel, Kubernetes, Power BI. EduFuture offers a Full-time position located in Karakol.","Construction, Excel, Kubernetes, Power BI"
KG-100077,AI Engineer,Oracle,"Tableau, Kubernetes, Docker, Accounting","Berlin, Germany",288.49 USD/month,Full-time,,No,"This role requires strong skills in Tableau, Kubernetes, Docker, Accounting. AitikSoft offers a Full-time position located in Kara-Balta.","Tableau, Kubernetes, Docker, Accounting"
KG-100177,Network Administrator,Google,"Communication, Pandas, Tableau","Berlin, Germany",,Full-time,Senior,No,"This role requires strong skills in Communication, Pandas, Tableau. CloudKyrgyz offers a Full-time position located in Kant.","Communication, Pandas, Tableau"
KG-100330,Mobile App Developer,Oracle,"Accounting, Git, NumPy, C#",Singapore,274.44 USD/month,Full-time,Junior,No,"This role requires strong skills in Accounting, Git, NumPy, C#. EduFuture offers a Full-time position located in Jalal-Abad.","Accounting, Git, NumPy, C#"
KG-100537,Cybersecurity Specialist,Microsoft,"Git, React, Azure","Amsterdam, Netherlands",416.16 USD/month,Internship,Mid-level,No,"This role requires strong skills in Git, React, Azure. Central Hospital offers a Internship position located in Karakol.","Git, React, Azure"
KG-100549,Cloud Engineer,Google,"C#, Linux, Java","Tokyo, Japan",382.65 USD/month,Full-time,Mid-level,No,"This role requires strong skills in C#, Linux, Java. AitikSoft offers a Full-time position located in Bishkek.","C#, Linux, Java"
KG-100071,Data Scientist,Cisco,"Power BI, AWS, Marketing","Berlin, Germany",,Full-time,Mid-level,No,"This role requires strong skills in Power BI, AWS, Marketing. Central Hospital offers a Full-time position located in Jalal-Abad.","Power BI, AWS, Marketing"
KG-100562,UI/UX Designer,Sony,"Azure, Pandas, SQL","Amsterdam, Netherlands",349.34 USD/month,Full-time,Junior,No,"This role requires strong skills in Azure, Pandas, SQL. Batken Transport offers a Full-time position located in Tokmok.","Azure, Pandas, SQL"
KG-100590,AI Engineer,Siemens,"Sales, Docker","Amsterdam, Netherlands",76.92 USD/month,Full-time,,No,"This role requires strong skills in Sales, Docker. Naryn Energy offers a Full-time position located in Talas.","Sales, Docker"
KG-100082,Machine Learning Engineer,Capgemini,"Accounting, Git","Berlin, Germany",629.01 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Accounting, Git. Osh Logistics offers a Full-time position located in Talas.","Accounting, Git"
KG-100317,Data Analyst,Apple,"React, Marketing, C#","Paris, France",149.13 USD/month,Full-time,Junior,Yes,"This role requires strong skills in React, Marketing, C#. GlobalDev KG offers a Full-time position located in Osh.","React, Marketing, C#"
KG-100305,Data Analyst,Deloitte,"Marketing, Project Management, Sales","London, UK",388.61 USD/month,Full-time,Junior,Yes,"This role requires strong skills in Marketing, Project Management, Sales. GreenBuild offers a Full-time position located in Jalal-Abad.","Marketing, Project Management, Sales"
KG-100007,IT Support Specialist,Siemens,"Git, Excel, Java","Berlin, Germany",1275.33 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Git, Excel, Java. HR Solutions KG offers a Full-time position located in Osh.","Git, Excel, Java"
KG-100424,Systems Engineer,SAP,"Project Management, Git","Amsterdam, Netherlands",185.6 USD/month,Full-time,Mid-level,Yes,"This role requires strong skills in Project Management, Git. HR Solutions KG offers a Full-time position located in Bishkek.","Project Management, Git"
KG-100375,Cloud Engineer,Siemens,"Django, Power BI, Accounting","Toronto, Canada",,Full-time,Mid-level,No,"This role requires strong skills in Django, Power BI, Accounting. EduFuture offers a Full-time position located in Jalal-Abad.","Django, Power BI, Accounting"
KG-100430,Database Administrator,Google,"Teaching, Java, AWS","New York, USA",6765.64 USD/month,Full-time,Senior,Yes,"This role requires strong skills in Teaching, Java, AWS. EduFuture offers a Full-time position located in Kara-Balta.","Teaching, Java, AWS"
KG-100538,Database Administrator,Amazon,"Pandas, Communication, Flask","Berlin, Germany",199.33 USD/month,Full-time,Senior,Yes,"This role requires strong skills in Pandas, Communication, Flask. Sunrise Marketing offers a Full-time position located in Tokmok.","Pandas, Communication, Flask"
KG-100313,Full Stack Developer,Google,"Django, Git, Pandas, Java",Singapore,419.92 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Django, Git, Pandas, Java. SkyEdu KG offers a Full-time position located in Kara-Balta.","Django, Git, Pandas, Java"
KG-100239,Cybersecurity Specialist,Sony,"SQL, Pandas, React, Teaching","London, UK",109.03 USD/month,Contract,Junior,No,"This role requires strong skills in SQL, Pandas, React, Teaching. Osh Logistics offers a Contract position located in Jalal-Abad.","SQL, Pandas, React, Teaching"
KG-100560,Backend Developer,SAP,"Git, Construction, React, C#","New York, USA",293.43 USD/month,Full-time,Junior,No,"This role requires strong skills in Git, Construction, React, C#. Osh Logistics offers a Full-time position located in Karakol.","Git, Construction, React, C#"
KG-100433,Machine Learning Engineer,Sony,"Flask, Django, C#","Amsterdam, Netherlands",198.13 USD/month,Full-time,Junior,No,"This role requires strong skills in Flask, Django, C#. ITBridge offers a Full-time position located in Kara-Balta.","Flask, Django, C#"
KG-100287,Full Stack Developer,Accenture,"Excel, Docker, Communication, React","London, UK",228.82 USD/month,Part-time,Mid-level,No,"This role requires strong skills in Excel, Docker, Communication, React. DataMinds KG offers a Part-time position located in Tokmok.","Excel, Docker, Communication, React"
KG-100427,UI/UX Designer,Cisco,"Pandas, SQL, Excel","London, UK",108.72 USD/month,Full-time,Junior,Yes,"This role requires strong skills in Pandas, SQL, Excel. Central Hospital offers a Full-time position located in Batken.","Pandas, SQL, Excel"
KG-100599,Data Analyst,Cisco,"Excel, Java, Tableau, Kubernetes","Tokyo, Japan",642.0 USD/month,Internship,Mid-level,No,"This role requires strong skills in Excel, Java, Tableau, Kubernetes. Central Hospital offers a Internship position located in Osh.","Excel, Java, Tableau, Kubernetes"
KG-100362,Full Stack Developer,SAP,"Communication, Marketing, AWS","Dubai, UAE",221.7 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Communication, Marketing, AWS. Nomad Retail offers a Full-time position located in Batken.","Communication, Marketing, AWS"
KG-100074,Cybersecurity Specialist,Cisco,"Tableau, Project Management, Pandas, SQL","Tokyo, Japan",,Part-time,Senior,No,"This role requires strong skills in Tableau, Project Management, Pandas, SQL. Central Hospital offers a Part-time position located in Naryn.","Tableau, Project Management, Pandas, SQL"
KG-100040,Mobile App Developer,Cisco,"Communication, Django, AWS","Paris, France",,Full-time,Mid-level,No,"This role requires strong skills in Communication, Django, AWS. Nomad Retail offers a Full-time position located in Naryn.","Communication, Django, AWS"
KG-100156,Frontend Developer,IBM,"Linux, JavaScript, Django, Construction, Docker","Berlin, Germany",559.76 USD/month,Full-time,Senior,No,"This role requires strong skills in Linux, JavaScript, Django, Construction, Docker. HR Solutions KG offers a Full-time position located in Bishkek.","Linux, JavaScript, Django, Construction, Docker"
KG-100219,AI Engineer,Sony,"NumPy, Docker, Git","New York, USA",625.52 USD/month,Part-time,Mid-level,No,"This role requires strong skills in NumPy, Docker, Git. Talas Agro offers a Part-time position located in Osh.","NumPy, Docker, Git"
KG-100371,Cybersecurity Specialist,Oracle,"Accounting, Teaching, Pandas",Singapore,1476.89 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Accounting, Teaching, Pandas. Nomad Retail offers a Full-time position located in Batken.","Accounting, Teaching, Pandas"
KG-100211,Mobile App Developer,Apple,"Pandas, JavaScript, Project Management, Kubernetes","New York, USA",312.6 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Pandas, JavaScript, Project Management, Kubernetes. EduFuture offers a Full-time position located in Jalal-Abad.","Pandas, JavaScript, Project Management, Kubernetes"
KG-100236,Data Analyst,Sony,"Django, Marketing, AWS","Berlin, Germany",377.65 USD/month,Full-time,Junior,No,"This role requires strong skills in Django, Marketing, AWS. DataMinds KG offers a Full-time position located in Kant.","Django, Marketing, AWS"
KG-100547,Cloud Engineer,Microsoft,"Tableau, Sales, JavaScript, Flask, NumPy","Sydney, Australia",,Full-time,Junior,Yes,"This role requires strong skills in Tableau, Sales, JavaScript, Flask, NumPy. CloudKyrgyz offers a Full-time position located in Batken.","Tableau, Sales, JavaScript, Flask, NumPy"
KG-100061,Full Stack Developer,Siemens,"NumPy, Git, Pandas","Toronto, Canada",,Internship,Senior,No,"This role requires strong skills in NumPy, Git, Pandas. ITBridge offers a Internship position located in Naryn.","NumPy, Git, Pandas"
KG-100301,Backend Developer,Deloitte,"Power BI, Django, Excel","Tokyo, Japan",151.72 USD/month,Full-time,Junior,No,"This role requires strong skills in Power BI, Django, Excel. Nomad Retail offers a Full-time position located in Kara-Balta.","Power BI, Django, Excel"
KG-100260,UI/UX Designer,Google,"Teaching, Excel, C#, Django","Amsterdam, Netherlands",,Full-time,Junior,No,"This role requires strong skills in Teaching, Excel, C#, Django. ITBridge offers a Full-time position located in Kara-Balta.","Teaching, Excel, C#, Django"
KG-100281,Mobile App Developer,Intel,"Linux, React","Sydney, Australia",829.43 USD/month,Full-time,Senior,Yes,"This role requires strong skills in Linux, React. BishTech offers a Full-time position located in Naryn.","Linux, React"
KG-100229,Cloud Engineer,Oracle,"Git, Teaching, JavaScript, Kubernetes, Project Management","Paris, France",85.66 USD/month,Part-time,,No,"This role requires strong skills in Git, Teaching, JavaScript, Kubernetes, Project Management. Talas Agro offers a Part-time position located in Kant.","Git, Teaching, JavaScript, Kubernetes, Project Management"
KG-100012,Data Scientist,Deloitte,"Kubernetes, Git, Communication","Sydney, Australia",,Full-time,Junior,No,"This role requires strong skills in Kubernetes, Git, Communication. SilkRoad Foods offers a Full-time position located in Osh.","Kubernetes, Git, Communication"
KG-100413,Cybersecurity Specialist,Meta,"Pandas, NumPy, React","Dubai, UAE",407.44 USD/month,Part-time,Mid-level,No,"This role requires strong skills in Pandas, NumPy, React. GreenBuild offers a Part-time position located in Karakol.","Pandas, NumPy, React"
KG-100084,DevOps Engineer,Microsoft,"AWS, Construction, JavaScript","Amsterdam, Netherlands",721.44 USD/month,Temporary,Mid-level,Yes,"This role requires strong skills in AWS, Construction, JavaScript. Osh Logistics offers a Temporary position located in Naryn.","AWS, Construction, JavaScript"
KG-100091,Network Administrator,Cisco,"Power BI, Python, Sales","Amsterdam, Netherlands",430.38 USD/month,Full-time,Senior,No,"This role requires strong skills in Power BI, Python, Sales. Osh Logistics offers a Full-time position located in Osh.","Power BI, Python, Sales"
KG-100209,Automation Tester,Cisco,"NumPy, Linux, SQL","New York, USA",633.0 USD/month,Full-time,Mid-level,No,"This role requires strong skills in NumPy, Linux, SQL. Central Hospital offers a Full-time position located in Naryn.","NumPy, Linux, SQL"
KG-100539,DevOps Engineer,Cisco,"Power BI, Accounting, NumPy","Tokyo, Japan",108.53 USD/month,Full-time,Mid-level,No,"This role requires strong skills in Power BI, Accounting, NumPy. ITBridge offers a Full-time position located in Talas.","Power BI, Accounting, NumPy"
KG-100336,Cybersecurity Specialist,Apple,"SQL, Python, Accounting","New York, USA",4098.38 USD/month,Contract,Mid-level,No,"This role requires strong skills in SQL, Python, Accounting. Batken Transport offers a Contract position located in Bishkek.","SQL, Python, Accounting"
KG-100080,Machine Learning Engineer,Sony,"JavaScript, Git, Pandas","London, UK",277.08 USD/month,Full-time,Senior,No,"This role requires strong skills in JavaScript, Git, Pandas. HR Solutions KG offers a Full-time position located in Tokmok.","JavaScript, Git, Pandas"
KG-100435,Full Stack Developer,Google,"Azure, Git, Accounting, Kubernetes, Python",Singapore,,Full-time,Mid-level,No,"This role requires strong skills in Azure, Git, Accounting, Kubernetes, Python. ITBridge offers a Full-time position located in Osh.","Azure, Git, Accounting, Kubernetes, Python"
KG-100141,Backend Developer,Intel,"Customer Service, Project Management, Docker","Sydney, Australia",736.83 USD/month,Full-time,Senior,No,"This role requires strong skills in Customer Service, Project Management, Docker. Sunrise Marketing offers a Full-time position located in Karakol.","Customer Service, Project Management, Docker"
KG-100282,Frontend Developer,Apple,"Marketing, Django","Sydney, Australia",555.36 USD/month,Internship,Senior,No,"This role requires strong skills in Marketing, Django. SilkRoad Foods offers a Internship position located in Kara-Balta.","Marketing, Django"
KG-100269,Product Manager (Tech),Capgemini,"Construction, NumPy, Communication","New York, USA",129.66 USD/month,Contract,,No,"This role requires strong skills in Construction, NumPy, Communication. EduFuture offers a Contract position located in Jalal-Abad.","Construction, NumPy, Communication"
KG-100415,Database Administrator,Deloitte,"JavaScript, Pandas, Azure",Singapore,,Full-time,Mid-level,No,"This role requires strong skills in JavaScript, Pandas, Azure. BishTech offers a Full-time position located in Kant.","JavaScript, Pandas, Azure"
KG-100200,DevOps Engineer,Microsoft,"Python, AWS, Construction, Teaching","Dubai, UAE",486.62 USD/month,Contract,,No,"This role requires strong skills in Python, AWS, Construction, Teaching. BishTech offers a Contract position located in Kara-Balta.","Python, AWS, Construction, Teaching"
